scenario,iteration,namespace,success,seconds,setup_seconds,helm_command_seconds,validation_message
helm_deploy_nginx,1,helm-222302-deploy-nginx-1,False,0.1440293999912683,0.0,0.14398520000395365,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_deploy_nginx_2_replicas,1,helm-222302-deploy-nginx-2-replicas-1,False,0.1447100999939721,0.0,0.14468820000183769,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_scale_nginx_to_3,1,helm-222302-scale-nginx-to-3-1,False,0.14373569999588653,0.14373569999588653,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_update_nginx_image,1,helm-222302-update-nginx-image-1,False,0.14421880000736564,0.14421880000736564,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_status_nginx,1,helm-222302-status-nginx-1,False,0.14504880001186393,0.14504880001186393,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_delete_nginx,1,helm-222302-delete-nginx-1,False,0.1420122999988962,0.1420122999988962,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_deploy_nginx,2,helm-222302-deploy-nginx-2,False,0.14744790000258945,0.0,0.1474368999915896,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_deploy_nginx_2_replicas,2,helm-222302-deploy-nginx-2-replicas-2,False,0.20386140000482555,0.0,0.20384849999391008,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_scale_nginx_to_3,2,helm-222302-scale-nginx-to-3-2,False,0.1432316999998875,0.1432316999998875,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_update_nginx_image,2,helm-222302-update-nginx-image-2,False,0.13952719999360852,0.13952719999360852,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_status_nginx,2,helm-222302-status-nginx-2,False,0.13848069999949075,0.13848069999949075,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_delete_nginx,2,helm-222302-delete-nginx-2,False,0.14955810000537895,0.14955810000537895,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_deploy_nginx,3,helm-222302-deploy-nginx-3,False,0.18994119999115355,0.0,0.1899312000023201,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_deploy_nginx_2_replicas,3,helm-222302-deploy-nginx-2-replicas-3,False,0.1443349000037415,0.0,0.14432410000881646,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_scale_nginx_to_3,3,helm-222302-scale-nginx-to-3-3,False,0.14416569999593776,0.14416569999593776,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_update_nginx_image,3,helm-222302-update-nginx-image-3,False,0.14754869999887887,0.14754869999887887,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_status_nginx,3,helm-222302-status-nginx-3,False,0.14161990000866354,0.14161990000866354,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_delete_nginx,3,helm-222302-delete-nginx-3,False,0.14213649999874178,0.14213649999874178,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_deploy_nginx,4,helm-222302-deploy-nginx-4,False,0.1562061000004178,0.0,0.1561941999971168,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_deploy_nginx_2_replicas,4,helm-222302-deploy-nginx-2-replicas-4,False,0.1351410999923246,0.0,0.1351308000012068,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_scale_nginx_to_3,4,helm-222302-scale-nginx-to-3-4,False,0.13864790000661742,0.13864790000661742,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_update_nginx_image,4,helm-222302-update-nginx-image-4,False,0.14046540000708774,0.14046540000708774,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_status_nginx,4,helm-222302-status-nginx-4,False,0.139799700002186,0.139799700002186,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_delete_nginx,4,helm-222302-delete-nginx-4,False,0.13875040000129957,0.13875040000129957,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_deploy_nginx,5,helm-222302-deploy-nginx-5,False,0.15629869999247603,0.0,0.1562874999945052,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_deploy_nginx_2_replicas,5,helm-222302-deploy-nginx-2-replicas-5,False,0.13655759999528527,0.0,0.13654699998733122,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_scale_nginx_to_3,5,helm-222302-scale-nginx-to-3-5,False,0.1409262000088347,0.1409262000088347,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_update_nginx_image,5,helm-222302-update-nginx-image-5,False,0.13833050000539515,0.13833050000539515,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
helm_status_nginx,5,helm-222302-status-nginx-5,False,0.14445470001373906,0.14445470001373906,,"Error: kubernetes cluster unreachable: error loading config file ""C:\Users\isiva\.kube\config"": open C:\Users\isiva\.kube\config: Access is denied.
"
