scenario,runs,valid_runs,success_rate,mean_seconds,median_seconds,stdev_seconds,q1_seconds,q3_seconds,min_seconds,max_seconds
helm_delete_nginx,5,5,1.0,0.3210581600025762,0.29988130000128876,0.03793122154074331,0.2963571000000229,0.33383190000313334,0.2929705999995349,0.382249900008901
helm_deploy_nginx,5,5,1.0,1.8295857400022215,1.3143058999994537,0.7984340308634887,1.2683014000067487,2.2573562000034144,1.2662945999909425,3.041670600010548
helm_deploy_nginx_2_replicas,5,5,1.0,2.3128884800040397,2.283831000007922,0.12283665726351943,2.281330400001025,2.285223099999712,2.192936000006739,2.5211219000048004
helm_scale_nginx_to_3,5,5,1.0,2.1890592999989167,2.1773936999961734,0.040610530364674845,2.1639233000023523,2.18008479999844,2.1634670000057667,2.260427699991851
helm_status_nginx,5,5,1.0,0.16236540000245442,0.16070480000053067,0.005326679609628767,0.15827189999981783,0.16762110000126995,0.15685990000201855,0.16836930000863504
helm_update_nginx_image,5,5,1.0,2.2042242799972884,2.1716095000010682,0.08682202952054181,2.1691521999891847,2.1733749999984866,2.148487300000852,2.3584973999968497
