scenario,runs,valid_runs,success_rate,mean_seconds,median_seconds,stdev_seconds,q1_seconds,q3_seconds,min_seconds,max_seconds,mean_command_count,mean_total_command_count
manual_delete_nginx,5,5,1.0,0.4502743399993051,0.45088699999905657,0.01756684352167763,0.43793600000208244,0.45780329999979585,0.42983079999976326,0.4749145999958273,3,7
manual_deploy_nginx,5,5,1.0,2.417289499996696,2.4047423000010895,0.07178256817829622,2.3954312999994727,2.4146751999942353,2.3376064999902155,2.5339921999984654,4,4
manual_deploy_nginx_2_replicas,5,5,1.0,3.63829283999803,3.6220018999883905,0.055787449722513933,3.603054700011853,3.659827099996619,3.5824796999950195,3.7241007999982685,4,4
manual_scale_nginx_to_3,5,5,1.0,3.189450959995156,3.1930175999877974,0.035767421294780596,3.188796899994486,3.2083283999963896,3.1310673999978462,3.2260444999992615,2,6
manual_status_nginx,5,5,1.0,0.12208042000129353,0.11915460000454914,0.009258744694215828,0.11579639998672064,0.1255892000044696,0.11339220000081696,0.13646970000991132,1,5
manual_update_nginx_image,5,5,1.0,2.2424556999991183,2.2269021999964025,0.04888010603260164,2.221699500005343,2.2361120999994455,2.200796499993885,2.326768200000515,2,6
